timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1584115012617,1091,Login Process,200,"Number of samples in transaction : 1, number of failing samples : 0",ViewingCompletedPage 1-10,,true,,5640,644,2,2,null,0,93,0
1584115012683,1091,LoginIntoBackOffice,200,OK,ViewingCompletedPage 1-10,text,true,,5640,644,2,2,http://test-hgv-api.answerappcloud.com/api/tokens/request,1090,0,51
1584115013615,1066,Login Process,200,"Number of samples in transaction : 1, number of failing samples : 0",ViewingCompletedPage 1-9,,true,,5640,644,3,3,null,0,1,0
1584115013616,1066,LoginIntoBackOffice,200,OK,ViewingCompletedPage 1-9,text,true,,5640,644,3,3,http://test-hgv-api.answerappcloud.com/api/tokens/request,1066,0,23
1584115013802,2855,Completed Tab,200,"Number of samples in transaction : 1, number of failing samples : 0",ViewingCompletedPage 1-10,,true,,17903,543,5,5,null,0,0,0
1584115013802,2855,Completed_sortByAscending,200,OK,ViewingCompletedPage 1-10,text,true,,17903,543,5,5,http://test-hgv-api.answerappcloud.com/api/jobtracking/list/completed?pageNumber=1&rowsPerPage=25&sortDir=asc,2855,0,0
1584115014615,2261,Login Process,200,"Number of samples in transaction : 1, number of failing samples : 0",ViewingCompletedPage 1-8,,true,,5640,644,5,5,null,0,1,0
1584115014616,2261,LoginIntoBackOffice,200,OK,ViewingCompletedPage 1-8,text,true,,5640,644,5,5,http://test-hgv-api.answerappcloud.com/api/tokens/request,2261,0,24
1584115015616,2440,Login Process,200,"Number of samples in transaction : 1, number of failing samples : 0",ViewingCompletedPage 1-7,,true,,5639,644,6,6,null,0,2,0
1584115015617,2440,LoginIntoBackOffice,200,OK,ViewingCompletedPage 1-7,text,true,,5639,644,6,6,http://test-hgv-api.answerappcloud.com/api/tokens/request,2440,0,23
1584115016616,1462,Login Process,200,"Number of samples in transaction : 1, number of failing samples : 0",ViewingCompletedPage 1-6,,true,,5639,644,6,6,null,0,0,0
1584115016616,1462,LoginIntoBackOffice,200,OK,ViewingCompletedPage 1-6,text,true,,5639,644,6,6,http://test-hgv-api.answerappcloud.com/api/tokens/request,1462,0,22
1584115016657,1430,Login Process,200,"Number of samples in transaction : 1, number of failing samples : 0",ViewingCompletedPage 1-10,,true,,5638,672,6,6,null,0,6,0
1584115016662,1430,LoginIntoBackOffice,200,OK,ViewingCompletedPage 1-10,text,true,,5638,672,6,6,http://test-hgv-api.answerappcloud.com/api/tokens/request,1430,0,22
1584115014683,4346,Completed Tab,200,"Number of samples in transaction : 1, number of failing samples : 0",ViewingCompletedPage 1-9,,true,,17903,543,7,7,null,0,0,0
1584115014683,4346,Completed_sortByAscending,200,OK,ViewingCompletedPage 1-9,text,true,,17903,543,7,7,http://test-hgv-api.answerappcloud.com/api/jobtracking/list/completed?pageNumber=1&rowsPerPage=25&sortDir=asc,4346,0,0
1584115017615,2187,Login Process,200,"Number of samples in transaction : 1, number of failing samples : 0",ViewingCompletedPage 1-5,,true,,5639,644,8,8,null,0,1,0
1584115017615,2187,LoginIntoBackOffice,200,OK,ViewingCompletedPage 1-5,text,true,,5639,644,8,8,http://test-hgv-api.answerappcloud.com/api/tokens/request,2187,0,23
1584115018615,1204,Login Process,200,"Number of samples in transaction : 1, number of failing samples : 0",ViewingCompletedPage 1-4,,true,,5639,644,8,8,null,0,0,0
1584115018615,1204,LoginIntoBackOffice,200,OK,ViewingCompletedPage 1-4,text,true,,5639,644,8,8,http://test-hgv-api.answerappcloud.com/api/tokens/request,1204,0,23
1584115019819,1525,Completed Tab,401,"Number of samples in transaction : 1, number of failing samples : 1",ViewingCompletedPage 1-4,,false,,510,543,9,9,null,0,1,0
1584115019819,1525,Completed_sortByAscending,401,Unauthorized,ViewingCompletedPage 1-4,text,false,,510,543,9,9,http://test-hgv-api.answerappcloud.com/api/jobtracking/list/completed?pageNumber=1&rowsPerPage=25&sortDir=asc,1525,0,0
1584115019616,1748,Login Process,200,"Number of samples in transaction : 1, number of failing samples : 0",ViewingCompletedPage 1-3,,true,,5639,644,9,9,null,0,1,0
1584115019616,1748,LoginIntoBackOffice,200,OK,ViewingCompletedPage 1-3,text,true,,5639,644,9,9,http://test-hgv-api.answerappcloud.com/api/tokens/request,1748,0,22
1584115016876,4937,Completed Tab,200,"Number of samples in transaction : 1, number of failing samples : 0",ViewingCompletedPage 1-8,,true,,17903,543,10,10,null,0,1,0
