timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1584013652301,10203,GetToken,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,761,412,10,10,null,0,2107,0
1584013652996,9409,GetToken,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,761,412,10,10,null,0,2206,0
1584013652698,9696,GetToken,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,761,412,10,10,null,0,2217,0
1584013652399,9983,GetToken,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,780,412,10,10,null,0,2229,0
1584013654302,10203,POST_Token,200,OK,Thread Group 1-2,text,true,,761,412,10,10,http://test-hgv-api.answerappcloud.com/api/tokens/request,10203,0,29
1584013652598,9853,GetToken,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,759,412,10,10,null,0,2160,0
1584013654400,9983,POST_Token,200,OK,Thread Group 1-3,text,true,,780,412,10,10,http://test-hgv-api.answerappcloud.com/api/tokens/request,9982,0,23
1584013652204,10120,GetToken,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,761,412,10,10,null,0,2286,0
1584013654598,9853,POST_Token,200,OK,Thread Group 1-5,text,true,,759,412,10,10,http://test-hgv-api.answerappcloud.com/api/tokens/request,9853,0,24
1584013653098,9306,GetToken,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,760,412,10,10,null,0,2207,0
1584013654274,10120,POST_Token,200,OK,Thread Group 1-1,text,true,,761,412,10,10,http://test-hgv-api.answerappcloud.com/api/tokens/request,10120,0,46
1584013652897,9556,GetToken,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,761,412,10,10,null,0,2158,0
1584013655098,9306,POST_Token,200,OK,Thread Group 1-10,text,true,,760,412,10,10,http://test-hgv-api.answerappcloud.com/api/tokens/request,9306,0,24
1584013654898,9556,POST_Token,200,OK,Thread Group 1-8,text,true,,761,412,10,10,http://test-hgv-api.answerappcloud.com/api/tokens/request,9556,0,24
1584013654997,9409,POST_Token,200,OK,Thread Group 1-9,text,true,,761,412,10,10,http://test-hgv-api.answerappcloud.com/api/tokens/request,9409,0,24
1584013654698,9696,POST_Token,200,OK,Thread Group 1-6,text,true,,761,412,10,10,http://test-hgv-api.answerappcloud.com/api/tokens/request,9696,0,24
1584013652498,10014,GetToken,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,761,412,10,10,null,0,2099,0
1584013654500,10014,POST_Token,200,OK,Thread Group 1-4,text,true,,761,412,10,10,http://test-hgv-api.answerappcloud.com/api/tokens/request,10014,0,34
1584013652797,9937,GetToken,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,780,412,10,10,null,0,2002,0
1584013654799,9937,POST_Token,200,OK,Thread Group 1-7,text,true,,780,412,10,10,http://test-hgv-api.answerappcloud.com/api/tokens/request,9936,0,24
1584013664611,1222,Dashboard_GET_Requests,401,"Number of samples in transaction : 4, number of failing samples : 4",Thread Group 1-10,,false,,969,1353,10,10,null,0,8003,0
1584013666613,775,GET_Totals,401,Unauthorized,Thread Group 1-10,text,false,,228,327,10,10,http://test-hgv-api.answerappcloud.com/api/dashboard/totals?token=da37876b-1b4e-4956-bcee-c4b8679be014,775,0,26
1584013669388,153,GET_Breakdown-Summary,401,Unauthorized,Thread Group 1-10,text,false,,247,337,10,10,http://test-hgv-api.answerappcloud.com/api/dashboard/breakdownsummary?token=da37876b-1b4e-4956-bcee-c4b8679be014,153,0,24
1584013671541,143,GET_Scheduled-Defects-Summary,401,Unauthorized,Thread Group 1-10,text,false,,247,344,10,10,http://test-hgv-api.answerappcloud.com/api/dashboard/scheduleddefectssummary?token=da37876b-1b4e-4956-bcee-c4b8679be014,143,0,24
1584013673685,151,GET_Scheduled-Messages-Summary,401,Unauthorized,Thread Group 1-10,text,false,,247,345,10,10,http://test-hgv-api.answerappcloud.com/api/dashboard/scheduledmessagessummary?token=da37876b-1b4e-4956-bcee-c4b8679be014,151,0,24
1584013664611,1509,Dashboard_GET_Requests,401,"Number of samples in transaction : 4, number of failing samples : 4",Thread Group 1-2,,false,,912,1353,10,10,null,0,8003,0
1584013666613,891,GET_Totals,401,Unauthorized,Thread Group 1-2,text,false,,228,327,10,10,http://test-hgv-api.answerappcloud.com/api/dashboard/totals?token=5dd7731a-aa2f-46ff-90ce-f4178147e247,891,0,26
1584013669505,205,GET_Breakdown-Summary,401,Unauthorized,Thread Group 1-2,text,false,,228,337,10,10,http://test-hgv-api.answerappcloud.com/api/dashboard/breakdownsummary?token=5dd7731a-aa2f-46ff-90ce-f4178147e247,205,0,25
1584013671710,232,GET_Scheduled-Defects-Summary,401,Unauthorized,Thread Group 1-2,text,false,,228,344,10,10,http://test-hgv-api.answerappcloud.com/api/dashboard/scheduleddefectssummary?token=5dd7731a-aa2f-46ff-90ce-f4178147e247,232,0,24
1584013673942,181,GET_Scheduled-Messages-Summary,401,Unauthorized,Thread Group 1-2,text,false,,228,345,10,10,http://test-hgv-api.answerappcloud.com/api/dashboard/scheduledmessagessummary?token=5dd7731a-aa2f-46ff-90ce-f4178147e247,181,0,24
1584013664611,1511,Dashboard_GET_Requests,401,"Number of samples in transaction : 4, number of failing samples : 4",Thread Group 1-8,,false,,912,1353,10,10,null,0,8004,0
1584013666613,896,GET_Totals,401,Unauthorized,Thread Group 1-8,text,false,,228,327,10,10,http://test-hgv-api.answerappcloud.com/api/dashboard/totals?token=b5a13bb3-534b-4dbb-881b-4c472c4aa9a5,896,0,25
1584013669510,200,GET_Breakdown-Summary,401,Unauthorized,Thread Group 1-8,text,false,,228,337,10,10,http://test-hgv-api.answerappcloud.com/api/dashboard/breakdownsummary?token=b5a13bb3-534b-4dbb-881b-4c472c4aa9a5,200,0,25
1584013671710,229,GET_Scheduled-Defects-Summary,401,Unauthorized,Thread Group 1-8,text,false,,228,344,10,10,http://test-hgv-api.answerappcloud.com/api/dashboard/scheduleddefectssummary?token=b5a13bb3-534b-4dbb-881b-4c472c4aa9a5,229,0,24
1584013673940,186,GET_Scheduled-Messages-Summary,401,Unauthorized,Thread Group 1-8,text,false,,228,345,10,10,http://test-hgv-api.answerappcloud.com/api/dashboard/scheduledmessagessummary?token=b5a13bb3-534b-4dbb-881b-4c472c4aa9a5,186,0,24
1584013664612,1595,Dashboard_GET_Requests,401,"Number of samples in transaction : 4, number of failing samples : 4",Thread Group 1-4,,false,,950,1353,10,10,null,0,8002,0
1584013666613,896,GET_Totals,401,Unauthorized,Thread Group 1-4,text,false,,228,327,10,10,http://test-hgv-api.answerappcloud.com/api/dashboard/totals?token=62c8fc18-0e89-4593-ab75-7fcff0bf40a8,896,0,26
1584013669510,225,GET_Breakdown-Summary,401,Unauthorized,Thread Group 1-4,text,false,,247,337,10,10,http://test-hgv-api.answerappcloud.com/api/dashboard/breakdownsummary?token=62c8fc18-0e89-4593-ab75-7fcff0bf40a8,225,0,25
